School,MonthCode,CalMonth,GradeLevel,GradeSort,RosterCount,Absent,Present,Released
01M019,2,Oct,0K,0,38,49,580,0
01M019,2,Oct,PK,-1,24,33,369,0
01M019,3,Nov,1,1,46,76,739,0
01M019,3,Nov,2,2,47,56,790,0
01M019,3,Nov,3,3,42,75,672,0
01M019,3,Nov,4,4,44,70,707,0
01M019,3,Nov,5,5,34,44,568,0
01M019,3,Nov,0K,0,37,57,598,0
01M019,3,Nov,PK,-1,24,56,372,0
01M019,4,Dec,1,1,45,60,688,0
01M019,4,Dec,2,2,47,84,715,0
01M019,4,Dec,3,3,42,68,646,0
01M019,4,Dec,4,4,45,68,689,0
01M019,4,Dec,5,5,34,65,513,0
01M019,4,Dec,0K,0,37,59,565,0
01M019,4,Dec,PK,-1,23,61,316,0
01M020,5,Jan,1,1,82,165,1475,0
01M020,5,Jan,2,2,94,103,1755,0
01M020,5,Jan,3,3,99,144,1780,0
01M020,5,Jan,4,4,78,117,1426,0
01M020,5,Jan,5,5,68,104,1256,0
01M020,5,Jan,0K,0,84,145,1486,0
01M020,5,Jan,PK,-1,43,82,757,0
01M020,6,Feb,1,1,82,92,1043,0
01M020,6,Feb,2,2,93,69,1231,0
01M020,6,Feb,3,3,99,107,1276,0
01M020,6,Feb,4,4,79,71,1011,0
01M020,6,Feb,5,5,68,58,894,0
01M020,6,Feb,0K,0,84,105,1035,0
01M020,6,Feb,PK,-1,45,72,502,42
01M020,7,Mar,1,1,79,128,1607,0
01M020,7,Mar,2,2,93,100,1942,0
01M020,7,Mar,3,3,99,120,2026,0
01M020,7,Mar,4,4,79,116,1595,0
01M020,7,Mar,5,5,68,92,1404,0
01M020,7,Mar,0K,0,82,154,1650,0
01M020,7,Mar,PK,-1,45,109,863,0
01M020,8,Apr,1,1,79,72,923,0
01M020,8,Apr,2,2,93,57,1152,0
01M020,8,Apr,3,3,97,99,1152,0
01M020,8,Apr,4,4,78,63,930,0
01M020,8,Apr,5,5,68,58,826,0
01M020,8,Apr,0K,0,82,96,970,0
01M020,8,Apr,PK,-1,44,70,502,0
01M020,9,May,1,1,77,95,1586,0
01M020,9,May,2,2,93,108,1931,0
01M020,9,May,3,3,96,157,1902,0
01M020,9,May,4,4,77,124,1570,0
01M020,9,May,5,5,69,84,1414,0
01M020,9,May,0K,0,82,167,1637,0
01M020,9,May,PK,-1,44,94,874,0
01M020,10,Jun,1,1,76,110,1182,0
01M020,10,Jun,2,2,92,105,1440,0
01M020,10,Jun,3,3,93,138,1420,0
01M020,10,Jun,4,4,77,131,1178,0
01M020,10,Jun,5,5,68,149,993,0
01M020,10,Jun,0K,0,82,169,1225,0
01M020,10,Jun,PK,-1,44,115,632,0
01M020,1,Sep,1,1,90,99,1274,0
01M020,1,Sep,2,2,95,60,1395,0
01M020,1,Sep,3,3,99,110,1411,0
01M020,1,Sep,4,4,83,48,1168,0
01M020,1,Sep,5,5,77,55,1034,0
01M020,1,Sep,0K,0,90,106,1227,0
01M020,1,Sep,PK,-1,41,39,591,0
01M020,2,Oct,1,1,86,95,1328,0
01M020,2,Oct,2,2,92,79,1483,0
01M020,2,Oct,3,3,96,89,1526,0
01M020,2,Oct,4,4,77,81,1227,0
01M020,2,Oct,5,5,69,45,1116,0
01M020,2,Oct,0K,0,83,124,1287,0
01M020,2,Oct,PK,-1,41,42,652,0
01M020,3,Nov,1,1,84,123,1356,0
01M020,3,Nov,2,2,93,78,1581,0
01M020,3,Nov,3,3,97,114,1593,0
01M020,3,Nov,4,4,78,80,1306,0
01M020,3,Nov,5,5,69,63,1163,0
01M020,3,Nov,0K,0,83,117,1353,0
01M020,3,Nov,PK,-1,42,98,644,0
01M020,4,Dec,1,1,81,111,1266,0
01M020,4,Dec,2,2,93,84,1480,0
01M020,4,Dec,3,3,95,112,1503,0
01M020,4,Dec,4,4,77,108,1201,0
01M020,4,Dec,5,5,68,76,1080,0
01M020,4,Dec,0K,0,81,151,1226,0
01M020,4,Dec,PK,-1,42,97,614,0
01M034,5,Jan,1,1,25,72,418,0
01M034,5,Jan,2,2,40,67,704,0
01M034,5,Jan,3,3,32,49,585,0
01M034,5,Jan,4,4,29,48,518,0
01M034,5,Jan,5,5,35,55,645,0
01M034,5,Jan,6,6,39,55,672,0
01M034,5,Jan,7,7,65,99,1119,0
01M034,5,Jan,8,8,62,131,1086,0
01M034,5,Jan,0K,0,21,39,381,0
01M034,5,Jan,PK,-1,14,41,239,0
01M034,6,Feb,1,1,24,47,276,0
01M034,6,Feb,2,2,39,29,515,0
01M034,6,Feb,3,3,31,26,397,0
01M034,6,Feb,4,4,28,31,361,0
01M034,6,Feb,5,5,35,43,447,0
01M034,6,Feb,6,6,38,37,486,0
01M034,6,Feb,7,7,61,64,790,0
01M034,6,Feb,8,8,60,80,760,0
01M034,6,Feb,0K,0,21,15,279,0
01M034,6,Feb,PK,-1,14,45,151,0
01M034,7,Mar,1,1,23,62,441,0
01M034,7,Mar,2,2,38,54,782,0
01M034,7,Mar,3,3,32,61,619,1
01M034,7,Mar,4,4,30,52,591,0
01M034,7,Mar,5,5,35,79,691,0
01M034,7,Mar,6,6,36,65,727,0
01M034,7,Mar,7,7,61,90,1252,0
01M034,7,Mar,8,8,60,126,1175,0
01M034,7,Mar,0K,0,21,47,403,0
01M034,7,Mar,PK,-1,14,55,253,0
01M034,8,Apr,1,1,23,30,269,0
01M034,8,Apr,2,2,39,35,467,0
01M034,8,Apr,3,3,32,36,376,4
01M034,8,Apr,4,4,29,33,344,0
01M034,8,Apr,5,5,35,42,413,0
01M034,8,Apr,6,6,36,41,427,0
01M034,8,Apr,7,7,61,53,730,0
01M034,8,Apr,8,8,60,80,697,0
01M034,8,Apr,0K,0,20,20,240,0
01M034,8,Apr,PK,-1,14,30,138,14
01M034,9,May,1,1,24,54,474,0
01M034,9,May,2,2,41,66,792,0
01M034,9,May,3,3,33,66,638,0
01M034,9,May,4,4,29,58,580,0
01M034,9,May,5,5,35,82,688,0
01M034,9,May,6,6,36,62,730,0
01M034,9,May,7,7,61,81,1239,0
01M034,9,May,8,8,60,95,1225,0
01M034,9,May,0K,0,20,52,388,0
01M034,9,May,PK,-1,14,50,258,0
01M034,10,Jun,1,1,24,75,333,0
01M034,10,Jun,2,2,40,84,588,0
01M034,10,Jun,3,3,32,98,446,0
01M034,10,Jun,4,4,30,75,429,0
01M034,10,Jun,5,5,35,126,469,0
01M034,10,Jun,6,6,37,64,557,0
01M034,10,Jun,7,7,60,130,890,0
01M034,10,Jun,8,8,60,168,852,0
01M034,10,Jun,0K,0,20,50,276,0
01M034,10,Jun,PK,-1,14,60,178,0
01M034,1,Sep,1,1,26,35,355,0
01M034,1,Sep,2,2,39,39,537,0
01M034,1,Sep,3,3,32,27,457,0
01M034,1,Sep,4,4,29,22,442,0
01M034,1,Sep,5,5,40,32,540,0
01M034,1,Sep,6,6,44,57,572,0
01M034,1,Sep,7,7,65,48,907,0
01M034,1,Sep,8,8,70,83,914,0
01M034,1,Sep,0K,0,21,15,300,0
01M034,1,Sep,PK,-1,14,22,192,0
01M034,2,Oct,1,1,27,37,371,0
01M034,2,Oct,2,2,39,28,599,0
01M034,2,Oct,3,3,31,44,483,0
01M034,2,Oct,4,4,33,18,475,0
01M034,2,Oct,5,5,37,39,573,0
01M034,2,Oct,6,6,44,44,604,0
01M034,2,Oct,7,7,60,57,946,0
01M034,2,Oct,8,8,64,86,980,0
01M034,2,Oct,0K,0,21,33,322,0
01M034,2,Oct,PK,-1,13,20,201,0
01M034,3,Nov,1,1,24,57,362,0
01M034,3,Nov,2,2,38,60,608,0
01M034,3,Nov,3,3,34,62,509,0
01M034,3,Nov,4,4,29,36,486,0
01M034,3,Nov,5,5,36,50,598,0
01M034,3,Nov,6,6,39,44,649,0
01M034,3,Nov,7,7,59,44,1018,0
01M034,3,Nov,8,8,62,89,1027,0
01M034,3,Nov,0K,0,21,22,356,0
01M034,3,Nov,PK,-1,13,57,177,0
01M034,4,Dec,1,1,24,39,356,0
01M034,4,Dec,2,2,38,67,579,0
01M034,4,Dec,3,3,32,49,495,0
01M034,4,Dec,4,4,29,41,452,0
01M034,4,Dec,5,5,36,57,542,0
01M034,4,Dec,6,6,39,45,569,0
01M034,4,Dec,7,7,60,82,936,0
01M034,4,Dec,8,8,62,103,951,0
01M034,4,Dec,0K,0,21,22,335,0
01M034,4,Dec,PK,-1,14,29,207,0
01M063,5,Jan,1,1,36,62,658,0
01M063,5,Jan,2,2,27,54,486,0
01M063,5,Jan,3,3,28,45,515,0
01M063,5,Jan,4,4,26,55,465,0
01M063,5,Jan,5,5,21,27,373,0
