Serial Number,Company Name,Employee Markme,Description,Leave
9.78818E+12,WINNING WITH CONCISE LETTER,Mark,G.K. PUBLICATION,1
9.78818E+12,A HANDBOOK OF PROVERBS,Mark,G.K. PUBLICATION,1
9.78818E+12,A HANDBOOK OF IDIOMS &PHRASES,Mark,G.K. PUBLICATION,0
9.78818E+12,A HAND BOOK OF PUNCTUATION,Mark,G.K. PUBLICATION,1
9.78818E+12,MODEL LETTER FOR ALL OCCASIONS,Mark,G.K. PUBLICATION,1
9.78819E+12,ABRAHAM LINCOLN { A COMPLETE BIOGRAPHY},LORD CHARNWOOD,G.P,0
9.78938E+12,LETS LOVE,SMITA KAUSHIK,G.P,0
9.78939E+12,ESS WORDS FOR GRE 4ED,Mark,GALGOTIA PUBLICATION,0
9.78818E+12,BARRON'S TOEFL IBT 2017 15/E PB,Mark,GALGOTIA PUBLICATION,4
9.78818E+12,GMAT 2nd/E 2018,Mark,GALGOTIA PUBLICATION,2
9.78818E+12,GRANDMA TALES,.,GALGOTIA PUBLICATIONS PVT. LTD.,2
9.78818E+12,GMAT WITH CD ROM,BARRON'S,GALGOTIA PUBLICATIONS PVT. LTD.,2
9.78818E+12,BARRONS GUIDE TO GMAT 2017,BOBBY UMAR,GALGOTIA PUBLICATIONS PVT. LTD.,0
9.78818E+12,HANUMAN TALES,Mark,GALGOTIA PUBLICATIONS PVT. LTD.,0
9.78818E+12,MYTHICAL TALES,Mark,GALGOTIA PUBLICATIONS PVT. LTD.,1
9.78818E+12,GRE BARRONS  2017,Mark,GALGOTIA PUBLICATIONS PVT. LTD.,0
9.78938E+12,HER RESURRECTION,Mark,GARGI PUBLISHERS,1
9.78819E+12,CRUMPLED VOICES,PULKIT GUPTA,GARGI PUBLISHERS,0
9.78939E+12,GATE 2019 ELECTRONICS & COMM. ENGINEERING VOL-I,UMESH DHANDE,GATE ACADEMY PUB.,1
9.78939E+12,GATE 2019 ELECTRONICS & COMM. ENGINEERING VOL-II,UMESH DHANDE,GATE ACADEMY PUB.,1
9.78938E+12,DIARY OF A YOUNG GIRL WITH Q AND A,Mark,GBD,10
9.78082E+12,CROSSING OVER,Mark,GBD,1
9.78819E+12,ABRAHAM LINCOLN A COMPLETE BIOGRAPHY,LORD CHARNWOOD,GBD BOOKS,1
9.78819E+12,ELEMENTARY CHINESE READERS 3,-,GBD BOOKS,0
9.78819E+12,MEIN KAMPE,Mark,GBD BOOKS,0
9.78819E+12,M.K. GANDHI AN AUTOBIOGRAPHY,M K  Gandhi,GBD BOOKS,0
9.78819E+12,AS A MAN THINKETH,JAMES ALL,GBD BOOKS,8
9.78938E+12,HEIDI,Mark,GBD BOOKS,0
9.78088E+12,MERRIAM WEBUSTER'S DICTIOMarkRY OF LAW,Mark,GBD BOOKS,0
9.78819E+12,AJANTA  ITALIAN IN TWO MONTH,Mark,GBD BOOKS,1
9.78935E+12,INTRODUCTORY MACROECONOMICS XII CBSE,TR JAIN,GLOBAL PUBLICATION PVT LTD,0
9.78935E+12,XAMIDEA SOCIAL SCIENCE CLASS - IX,Mark,GLOBAL PUBLICATION PVT LTD,1
9.78817E+12,BRAIN BUSTING SUDOKU (NEW),Mark,GOODWILL,0
9.78817E+12,LEARN ENGLISH THROUGH HINDI,Ajay Kumar Bhalla,GOODWILL,0
9.78817E+12,HOW TO SUCCEED IN INTERVIEWS,A K Mitra,GOODWILL,0
9.78817E+12,GREAT PARTY GAMES,Phil Wiswell,GOODWILL,0
9.78817E+12,70 GAMES AND TRICKS FOR KIDS (TWO COLOUR),Roopa Gosain,GOODWILL,0
9.78817E+12,SIMPLE CHEMISTRY EXPERIMENTS WITH EVERYDAY MATERIALS,Louis V  Loeschnig,GOODWILL,0
9.78817E+12,BIGGEST JOKE BOOK IN THE WORLD,Matt Rissinger & Jeff Sinclair,GOODWILL,0
9.78817E+12,SIMPLE SCIENCE EXPERIMENTS WITH EVERYDAY MATERIALS,Muriel Mandell,GOODWILL,0
9.78817E+12,MAS OYAMAS'S COMPLETE KARATE COURSE,Mas Oyama's,GOODWILL,0
9.78817E+12,THE LITTLE GIANT BOOK OF  JOKES,Joseph Rosenbloom,GOODWILL,2
9.78817E+12,THE LITTLE GIANT BOOK OF TONGUE TWISTERS,Joseph Rosenbloom & Mike Artell,GOODWILL,2
9.78817E+12,START CALLIGRAPHY,Jon Gibbs,GOODWILL,0
9.78817E+12,VOCABULARY & SPELLING : SUCCESS IN 20 MINUTES A DAY,Judith N  Meyers,GOODWILL,1
9.78817E+12,MORE KIDS' JOKES,Peter Coupe,GOODWILL,1
9.78817E+12,AWESOME EXPERIMENTS IN LIGHT & SOUND,Michael DiSpezio,GOODWILL,0
9.78817E+12,303 LETTERS FOR ALL OCCASIONS,AMarknd Ganguly,GOODWILL,1
9.78817E+12,THE ESSENTIAL BEAUTY GUIDE,SNEHA VIJ,GOODWILL,0
9.78817E+12,1000 MATH PROBLEMS,Sam Phillips,GOODWILL,1
9.78817E+12,THE ART OF BUSINESS COMMUNICATION,AMarknd Ganguly,GOODWILL,1
9.78817E+12,INITIATION INTO NYMEROLOGY,JOHANN HEYSS,GOODWILL,0
9.78817E+12,THE BOOK OF NUMEROLOGY,HAL A. LINGERMAN,GOODWILL,0
9.78817E+12,A COMPLETE GUIDE TO NUMEROLOGY,B. K. CHATURVEDI,GOODWILL,0
9.78817E+12,GREAT BOOK OF SCHOOL JOKES,Meridith Berk & Tonivavrus,GOODWILL,0
9.78817E+12,AWESOME JOKES,Charles Keller,GOODWILL,0
9.78817E+12,50 MORE HORROR STORIES,AI Sarrantonio  & Martin H Greenberg,GOODWILL,0
9.78817E+12,50 CRIME STORIES,Robert H Weinberg Stefan Dziemianowicz & Martin H Greenberg,GOODWILL,0
9.78817E+12,BEGIN CHESS,D B Pritchard,GOODWILL,0
9.78817E+12,SPEAK TO INFLUENCE (NEW),Susan Berkley,GOODWILL,0
9.78817E+12,ITALIAN MADE EASY,RASHMI VARMA AND DIEGO A. AGUNDEZ,GOODWILL,0
9.78817E+12,BEGINNING CHESS PLAY,BILL ROBERTIE,GOODWILL,0
9.78817E+12,DICTIOMarkRY OF BIOLOGY,MICHAEL BULL,GOODWILL,0
9.78817E+12,FASCIAMarkTING SUDOKU (NEW),Mark,GOODWILL,0
9.78817E+12,MIND ZOOMING SUDOKU (NEW),Mark,GOODWILL,0
9.78817E+12,MORE SUDOKU (NEW),Mark,GOODWILL,0
9.78817E+12,SENSATIOMarkL SUDOKU (NEW),Mark,GOODWILL,0
9.78817E+12,SUPER SUDOKU (NEW),Mark,GOODWILL,0
9.78817E+12,ADVANCED WRITING SKILLS,Mark,GOODWILL,0
9.78819E+12,IMPROVE YOUR VOCABULARY,Mark,GOODWILL,7
9.78817E+12,135 ESSAYS,Mark,GOODWILL PUBLISHIG HOUSE,0
9.78817E+12,SUDOKO SERIES SET OF 8 TITLES,Mark,GOODWILL PUBLISHIG HOUSE,0
9.78817E+12,RUSSIAN MADE EASY WITH AUDIO CD,Mark,GOODWILL PUBLISHIG HOUSE,0
9.78818E+12,TEACH YOURSELF ARABIC,-,GOODWORD BOOKS,0
9.78159E+12,LANGENSCHEIDT POCKET DICTIOMarkRY : SPANISH,Mark,GOYAL PUBLISHERS,4
9.78818E+12,HOW TO BUILD A BETTER VOCABULARY,MAXWELL NURNBERG,GOYAL PUBLISHERS,1
9.78818E+12,FRENCH-ENGLISH / ENGLISH -FRENCH BEGINNER'S DICTIOMarkY,,GOYAL PUBLISHERS,0
9.78818E+12,GERNMAN-ENGLISH / ENGLISH-GERMAN BEGINNER'S DICTIMarkRY,,GOYAL PUBLISHERS,0
9.79818E+12,CORRECT SPELLING MADE EASY,NORMAN LEWIS,GOYAL PUBLISHERS,0
9.78818E+12,SPANIS-ENGLISH/ENGLISH-SPANISH,Mark,GOYAL PUBLISHERS,0
9.78818E+12,STUDENT-GERMAN DICTIOMarkRY,Mark,GOYAL PUBLISHERS,0
9.78818E+12,PETITS PAS 3 CAHIER D' ACTIVITES,Mark,GOYAL PUBLISHERS,4
9.78818E+12,GET YOUR DREAM JOB,Mark,GOYAL PUBLISHERS,8
9.78818E+12,12 STEPS TO BETTER MEMORY,-,GOYAL PUBLISHERS,0
9.78818E+12,WORD MEMORY POWER IN 30 DAYS,-,GOYAL PUBLISHERS,0
9.78818E+12,WORD ORIGINS & THEIR ROMANTIC ST.,-,GOYAL PUBLISHERS,2
9.78818E+12,GET READY GRAMAR,Mark,GOYAL PUBLISHERS,0
9.78818E+12,LANGENSCHEIDT EURO DIC GERMAN,Mark,GOYAL PUBLISHERS,1
9.78819E+12,POCKET ITALIAN DICTIOMarkRY,-,GOYAL PUBLISHERS,0
9.78819E+12,DICTIOMarkRY OF DIFFICULT WORDS,-,GOYAL PUBLISHERS,0
9.78088E+12,MERRIAM-WEBSTER'S MEDICAL DISTIOMarkRY,Mark,GOYAL PUBLISHERS,0
9.78001E+12,COLLINS - ACTIVE ENGLISH GRAMMAR,-,GOYAL PUBLISHERS,7
9.78818E+12,THE ULTIMATE GUIDE TO IELTS SPEAKING (ENGLISH) 1ST EDITION,.,GOYAL PUBLISHERS,0
9.78816E+12,CHRONOLOGICAL DIC. OF QUOTATION (WHO SAID W),-,GOYAL PUBLISHERS,0
9.78818E+12,LANGENSHEIDT POCKET ITALIAN DIC,LANGENSHEIDT,GOYAL PUBLISHERS,0
9.78818E+12,STUDENT PICTURE DIC FRENCH - (RENYI),Mark,GOYAL PUBLISHERS,1
9.78939E+12,GET READY GERMAN CLASS Xth SOLU. NEW ED.,Mark,GOYAL PUBLISHERS,2
9.78818E+12,G MAUGER - 1 BOOK WITH CD,.,GOYAL PUBLISHERS,2
9.78818E+12,G MAUGER - 2 BOOK WITH CD,.,GOYAL PUBLISHERS,2
9.78818E+12,COURS DE LANGUE ET DE CIVILSATION FRANCAISES 3 CD,Mark,GOYAL PUBLISHERS,2
9.78818E+12,POKET JAPANESE DICTIOMarkRY,Mark,GOYAL PUBLISHERS & DISTRIBUTORS,8
9.78818E+12,HAND BOOK OF QUOTATIONS,-,GOYAL PUBLISHERS & DISTRIBUTORS,10
9.78818E+12,VISUAL DICTIOMarkRY GERMAN ENGLISH,Mark,GOYAL PUBLISHERS & DISTRIBUTORS,0
9.78818E+12,VISUAL DICTIOMarkRY FRENCH ENGLISH,Mark,GOYAL PUBLISHERS & DISTRIBUTORS,0
9.78818E+12,VISUAL DICTIOMarkRY SPANISH ENGLISH,Mark,GOYAL PUBLISHERS & DISTRIBUTORS,1
9.78819E+12,I'M NOT TWENTY FOUR........,Sachin Garg,GRAPEVINE,1
9.78819E+12,IT'S FIRST LOVE...,Sachin Garg,GRAPEVINE,1
9.78938E+12,NEVER LET ME GO...,Sachin Garg,GRAPEVINE,0
9.78938E+12,THE POWER OF YOUR SUBCONSCIOUS MIND.,DR JOSEPH MURPHY,GRAPEVINE,1
9.78938E+12,WORLD'S GREATEST SPEECHES,AMIT KAPOOR,GRAPEVINE,0
9.78938E+12,WORD POWER MADE EASIER :VOCABULARY ENHANCER,DANIEL SMOOT,GRAPEVINE,0
9.78938E+12,THE BLACKBENTURE THE PRESIDENCY NIGHT,Mark,GRAPEVINE,1
9.78938E+12,THE POWER OF POSITIVE THINKING,NORMAN VINCENT PEAL.,GRAPEVINE,1
9.78938E+12,THE NIDHI KAPOOR STORY,SAURABH GARG,GRAPEVINE,0
9.78938E+12,THE DIARY OF A YOUNG GIRL,ANNE FRANK,GRAPEVINE,0
9.78938E+12,DO YOU KNOW A P J KALAM,Mark,GRAPEVINE,0
9.78938E+12,WE NEED A REVOLUTION,SACHIN GARG,GRAPEVINE,0
9.78938E+12,NIGHT,Mark,GRAPEVINE,0
9.78938E+12,YES SIR,GIRISH AIVALI,GRAPEVINE,0
9.78938E+12,THE SCIENCE OF GETTING RICH,Mark,GRAPEVINE,1
9.78938E+12,THE OLD MAN AND THE SEA,Mark,GRAPEVINE,0
9.78938E+12,MEDITATION,Mark,GRAPEVINE,1
9.78938E+12,GREATEST POETRY EVER WRITTEN,Mark,GRAPEVINE,0
9.78938E+12,CONFESSIONS OF A THUG,PHILIP MEADOWS TAYLOR,GRAPEVINE,1
9.78938E+12,THE STORY OF MY LIFE,Mark,GRAPEVINE,1
9.78938E+12,MEDITATION AND ITS METHODS,Mark,GRAPEVINE,2
9.78938E+12,ANIMAL FARM,Mark,GRAPEVINE,1
9.78938E+12,THE GREATEST WORKS OF GEORGE ORWELL,Mark,GRAPEVINE,1
9.78938E+12,21 WAYS OF BEING HAPPY,Mark,GRAPEVINE,0
9.78938E+12,"COME ON, INNER PEACE",SACHIN GARG,GRAPEVINE,0
9.78938E+12,THE BACKBENCHERS 3 DAYS OF SUMMER,SIDHARTH,GRAPEVINE,1
9.78938E+12,WEDDING PICKLE,Mark,GRAPEVINE,0
9.78938E+12,GREATEST WORK OF FRANZ KAFKA,Mark,GRAPEVINE,1
9.78938E+12,THE GREAT WORKS OF RABINDRAMarkTH,RABINDRAMarkTH TAGORE,GRAPEVINE,1
9.78938E+12,WORLD GREATEST SHORT STORIES,Mark,GRAPEVINE,1
9.78938E+12,INDIA'S GREATEST SPEECHES,Mark,GRAPEVINE,1
9.78938E+12,69 THINGS I WISH I KNEW BEFORE GETTING MARRIED,PARUL TYAGI,GRAPEVINE,0
9.78938E+12,THE ART OF WAR,BY SUN TZU,GRAPEVINE,0
9.78938E+12,THE AUTOBIOGRAPHY OF BENJAMIN FRANKLIN,CHARLES W EILOT,GRAPEVINE,0
9.78819E+12,THE EXTRA CLASS,SidhARTH OBEROI,GRAPEVINE INDIA PUB PVT. LTD.,1
9.78819E+12,THE POWER OF YOUR SUBCONISCIOUS MIND,Joseph,GRAPEVINE INDIA PUB PVT. LTD.,1
9.78938E+12,ALEXANDER THE GREAT,JACOB ABBOT,GRAPEVINE INDIA PUB PVT. LTD.,1
9.78938E+12,THE ADVENTURES OF SHERLOCK HOLMES,Mark,GRAPEVINE INDIA PUB PVT. LTD.,1
9.78938E+12,THE COMMUNIST MANIFESTO,"""Che"" Guevara",GRAPEVINE INDIA PUB PVT. LTD.,0
9.78938E+12,TO DAUGHTER WITH LOVE,NICOLA SIMPSON,GRAPEVINE INDIA PUB PVT. LTD.,0
9.78938E+12,THE MISSED CALL!,SIDHARTH OBEROI,GRAPEVINE INDIA PUB PVT. LTD.,0
9.78938E+12,SHADES OF LOVE,ANKIT MITTAL,GRAPEVINE INDIA PUB PVT. LTD.,0
9.78938E+12,CHAMarkKYA NEETI,Mark,GRAPEVINE INDIA PUB PVT. LTD.,1
9.78938E+12,DO YOU KNOW GANDHI,DR. UNMarkT P PANDIT,GRAPEVINE INDIA PUB PVT. LTD.,0
9.78938E+12,DO YOU KNOW MS DHONI,Mark,GRAPEVINE INDIA PUB PVT. LTD.,0
9.78938E+12,MIGHTY RAJU STICKER BOOK,Mark,GREEN GOLD,0
9.78938E+12,3- IN -1 BOOK MIGHTY RAJU,Mark,GREEN GOLD,2
9.78938E+12,COLOURING FUN VOLUME 4,N/,GREEN GOLD,0
9.78938E+12,CHHOTA BHEEM & KRISHMark,Mark,GREEN GOLD,0
9.78938E+12,USO AT DHOLAKPURVOL.25,Mark,GREEN GOLD,1
9.78938E+12,EVIL MISISTRATIONS VOL.26,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEN IN VOL.27,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM IN VOL.28,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM VOL.29,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM CHOCOLATE WORLD,Mark,GREEN GOLD,1
9.78938E+12,INDUMATIS VOL 31,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM IN CHHOTA BHEEM & GANESH,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM NO33,Mark,GREEN GOLD,1
9.78938E+12,QUEEN CHUTKI VOL34,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM VOL-35 THIS IS NOT RIGHT SIZE,Mark,GREEN GOLD,2
9.78938E+12,THE 3-IN-1BOOK OF KRISHMark BALRAM,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM NO37,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM VOL.38 TREE HOUSE,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM VOL .39REVENGE OF THE ANTS,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM VOL.40IN THE GIRAFFF,Mark,GREEN GOLD,1
9.78938E+12,KALIAS PET VOL41,CHHOTA BHEEM,GREEN GOLD,2
9.78938E+12,LADDOO NO -1VOL42,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM IN THE CLADIATOR,Mark,GREEN GOLD,2
9.78938E+12,THE KARATE TWINS,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM BORD GAME,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM IN HOLI HAI,Mark,GREEN GOLD,1
9.78938E+12,BOOK OF WORLD RECORDS VOL NO 48,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BEEM IN JUNIOR BOXING,Mark,GREEN GOLD,1
9.78938E+12,THE KINGFISHER VOL 50,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM VOL.51 CAMPING HOLIDAY,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM VOL .52 EVIL DRUMMER,Mark,GREEN GOLD,2
9.78938E+12,BLAST FROM THE PAST VOL.53,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM VOL.54IN JUNGAL PARTY,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM THE 3-IN-1 BOOK,Mark,GREEN GOLD,0
9.78938E+12,KRISHMark VOL.2 MAKHAN CHOR,Mark,GREEN GOLD,1
9.78938E+12,KRISHMark VOL.3 IN VRINDAVAN,Mark,GREEN GOLD,1
9.78938E+12,JUNGLE BOY VOL.55,CHHOTA BHEEM,GREEN GOLD,2
9.78938E+12,MAGIC PUPPETS IN VOL56,CHHOTA BHEEM,GREEN GOLD,1
9.78938E+12,TOUCH OF STONE VOL.57,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM VOL.58BALI,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM SEA WORLD,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM VOL.61 THE HIDING GAME,Mark,GREEN GOLD,1
9.78938E+12,JAGGUB DAGGU BHAI BHAI,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM VOL.63CRUISE TO ICELAND,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM VOL.64,Mark,GREEN GOLD,1
9.78938E+12,KHUSTI KA MUQABLA VOL.72,Mark,GREEN GOLD,2
9.78938E+12,ALI BABA COVE VOL.66,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM VOL68,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM VOL69,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM VOL.11,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM IN HYPNOTIST HARRY,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM VOL-13 IN EINSTEIN BHEEM,Mark,GREEN GOLD,4
9.78938E+12,CHHOTA BHEEM VOL.14,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEMIN VOL.15,Mark,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM IN VOL.16,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM VOL 17,-,GREEN GOLD,2
9.78938E+12,CHHOTA BHEEM IN COWBOY BHEEM,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM IN VOL.19,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM IN VOL.20,NS,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM VOL.22 SHIVANI KA DHABA,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM IN THE SWORD,Mark,GREEN GOLD,1
9.78938E+12,CHHOTA BHEEM IN DHOLAKPUR ATHLETICS CHAMPIONSHIP,Mark,GREEN GOLD,1
9.78938E+12,THE 3-IN-1 BOOKRAMAYAN THE MOVIE,Mark,GREEN GOLD,2
9.78938E+12,THE ALISMAN VOL.71,Mark,GREEN GOLD,2
9.78938E+12,THE CONFUSED CAMEL VOL.73,Mark,GREEN GOLD,2
